student_id,synthetic_age,enrollment_type,academic_year,major_category,gpa_direction,credit_hours_current,semesters_enrolled,expected_total_semesters,remaining_semesters,monthly_inflow_mean,cash_flow_cv,aid_disbursement_flag,aid_amount,estimated_tuition,estimated_living_cost,synthetic_debt_load,campus_employment,gig_income_flag,bill_payment_rate,savings_behavior,subscription_count,prior_delinquency,application_week,semester_phase,academic_calendar_flag,ecs,gdi,acr,cfri,opr,tgb,spra,sei,default_probability,default_flag,dataset_split
STU_002313,21.914127366544523,Full-time,2,Business,Stable,13.337205809775355,4,8,4,993.4006017505861,0.7317760266110439,0,0.0,4636.584513026948,6660.379808251078,6640.010083077058,0,1,0.8795029425611108,Sporadic,3,0,9,Early,1,0.5,0.0,0.35174072379054927,0.2682239733889561,0.8795029425611108,0.18286948910030668,0.3288595278760843,0.32587036189527463,0.034120766807018144,0,D_train
STU_016846,22.0878134285535,Full-time,3,Arts,Stable,16.36530853400586,5,8,3,2834.8033677651592,0.129814131641988,1,4725.615888426093,8071.488861645554,3797.356687442614,12767.085152183656,0,1,0.6724155966278518,Sporadic,0,0,6,Late,1,0.625,0.0,1.353529228520538,0.870185868358012,0.6724155966278518,0.1466248295826155,0.15020097366843965,0.864264614260269,0.004611354574088076,0,D_train
STU_006106,23.41313664745979,Full-time,2,Business,Stable,17.825958679712613,4,8,4,530.2469788376152,0.16475766374625597,1,6628.374724292047,6700.134876347567,3990.6707569599303,5113.118166562597,0,0,0.8811371232920268,Sporadic,2,0,10,Early,1,0.5,0.0,0.8184006837037267,0.835242336253744,0.8811371232920268,0.1884640625782856,0.10156192851089438,0.5592003418518633,0.004206701599047504,0,D_train
STU_018083,20.706157123057505,Full-time,2,STEM,Stable,15.014206812128954,3,8,5,959.2160428285839,0.06782596294445103,1,3527.061133595871,8437.075925098241,5858.21153094245,5245.230446444734,0,1,0.9264986077782026,No Savings,2,0,5,Mid,1,0.375,0.0,0.5151295717245943,0.9321740370555489,0.9264986077782026,0.20918902695079628,0.04918080284431966,0.37006478586229713,0.006246017077959194,0,D_train
STU_011336,19.745985414301465,Part-time,2,Business,Declining,7.005579995025979,3,10,7,1475.7727702078228,0.21065741291192672,0,0.0,7062.319353187247,4216.933077728132,6813.071246074252,1,0,0.8544474109436473,Sporadic,5,0,4,Mid,1,0.3,-1.0,0.5233583623548906,0.7893425870880733,0.8544474109436473,0.2355841852186159,0.12792874188167652,0.15167918117744533,0.0881135766888905,0,D_train
STU_017678,22.0880076587759,Full-time,2,STEM,Stable,13.306825636962673,4,8,4,1197.8937255510452,0.12929383810869183,1,4802.023387530291,7557.931765907541,4902.10121524454,8884.379750220476,0,0,0.7406543703043661,No Savings,2,2,3,Mid,1,0.5,0.0,0.7699496706185627,0.8707061618913081,0.7406543703043661,0.17701376497899549,0.7295212241521669,0.5349748353092814,0.04130244374311346,0,D_train
STU_001093,22.809733178546566,Full-time,2,STEM,Improving,13.303671886595689,4,8,4,824.8920129972275,0.5823903021587858,1,2319.2387768709814,11110.81066586898,4044.281508683584,3486.9264319742356,1,0,0.8921485629948203,Sporadic,3,0,4,Mid,1,0.5,1.0,0.3707537218608689,0.41760969784121416,0.8921485629948203,0.19730606138459708,0.2653115519650683,0.5353768609304345,0.0034323447305450593,0,D_train
STU_008365,23.079585596212556,Full-time,3,Business,Improving,12.085113817823828,6,8,2,679.0546498651202,0.20120378437488035,0,0.0,8509.519319503586,6539.358820426267,1174.1627591204744,0,1,0.4815179341838282,No Savings,3,0,7,Mid,0,0.75,1.0,0.18049309551211115,0.7987962156251196,0.4815179341838282,0.15540912751889607,0.23602613349480367,0.5152465477560555,0.020402238477863186,0,D_train
STU_018551,22.888740555577016,Full-time,2,STEM,Improving,13.783859042035633,3,8,5,647.231611867571,0.2701538307490629,1,3365.371174174103,6646.6495083159,5090.177473927327,7246.65189481665,0,1,0.8576209176089719,Sporadic,2,0,2,Mid,0,0.375,1.0,0.5073174914014418,0.729846169250937,0.8576209176089719,0.20158328309978304,0.15077525701693362,0.5661587457007209,0.005277043434213349,0,D_train
STU_011424,20.884368777551405,Full-time,1,Business,Improving,17.010215867448,1,8,7,1450.819456724135,0.26025069090685393,1,4312.77925039635,6352.179009026,5040.604023134176,4206.181994792562,1,0,0.7999493293633468,Consistent Saver,4,0,9,Mid,0,0.125,1.0,0.8879355508427333,0.7397493090931461,0.7999493293633468,0.249197614573335,0.1641154775537375,0.6814677754213667,0.003039842782126859,0,D_train
